,by,descendants,id,kids,score,time,title,type,url,text
72,idhant,14.0,39799131,"[39819140, 39820754, 39820156, 39820944, 39820664, 39819999]",31,1711193363,Show HN: FaviconHelper,story,https://www.faviconhelper.com/1,Favicon Helper is an ai superpowered icon generator that can generate stunning favicons in seconds. First &quot;real&quot; project lmk if it sucks!
73,mechazawa,171.0,39816835,"[39819679, 39817122, 39817347, 39817687, 39818809, 39820329, 39817082, 39817225, 39817092, 39825295, 39823880, 39821651, 39819690, 39825206, 39819769, 39817671, 39819714, 39823332, 39819582, 39824202, 39818489, 39817983, 39817267, 39818675, 39817997]",98,1711377163,"Show HN: Detecting adblock, without JavaScript, by abusing HTTP 103 responses",story,https://github.com/Mechazawa/103-early-anti-adblock,
74,MarcusE1W,3.0,39821065,"[39826000, 39822488]",38,1711399403,"Laurent de Brunhoff, 'Babar the Elephant' author, died",story,https://www.cnn.com/2024/03/25/style/laurent-de-brunhoff-babar-obituary/index.html,
75,pravint,13.0,39805077,"[39805078, 39813557, 39814934, 39813161]",58,1711252881,The Immortal Jellyfish (2015),story,https://www.amnh.org/explore/news-blogs/on-exhibit-posts/the-immortal-jellyfish,
76,bbzjk7,44.0,39812259,"[39813585, 39813611, 39813760, 39814867, 39818669, 39815848, 39816332]",229,1711331913,Supervision: Reusable Computer Vision,story,https://github.com/roboflow/supervision,
77,mooreds,308.0,39815805,"[39816052, 39816401, 39816597, 39816021, 39816243, 39816093, 39816024, 39817760, 39816085, 39816608, 39816250, 39820013, 39820166, 39816799, 39817031, 39823845, 39820737, 39823393, 39817843, 39816251, 39819991, 39819536, 39816181, 39817230, 39820021, 39821575, 39818012, 39817927, 39817541, 39816830, 39816990, 39817695, 39816229, 39820549, 39823236, 39818855, 39816561]",472,1711372004,Barcelona’s Sagrada Familia will be completed in 2026,story,https://www.cnn.com/2024/03/25/travel/sagrada-familia-barcelona-completion-scli-intl/index.html,
78,doener,5.0,39814079,"[39823936, 39821186, 39827301]",33,1711357814,Everyone is John: A competitive roleplaying game for three or more people,story,https://rtwolf.github.io/Everyone-is-John/,
79,oalders,26.0,39818535,"[39820267, 39797208, 39820431, 39822582, 39796574, 39820161, 39823969, 39818540]",56,1711385341,Hotel Hotspot Hijinks,story,https://peateasea.de/hotel-hotspot-hijinks/,
80,priyankanath,1.0,39824404,[39827120],11,1711429272,Archaeologists are now finding microplastics in ancient remains,story,https://www.cnn.com/2024/03/25/uk/microplastics-archeological-remains-study-scli-intl-scn-gbr/index.html,
81,fredrickd,229.0,39812652,"[39818213, 39813261, 39813359, 39818172, 39814698, 39818206, 39818323, 39816068, 39814739, 39813462, 39813468, 39816294, 39816632, 39813417, 39815282, 39823821, 39814876, 39820816, 39820738, 39818726, 39814105, 39817713, 39815287, 39818339, 39814024, 39819150, 39821014, 39817293, 39813386, 39813152, 39815322, 39813562, 39816154, 39813671, 39815350, 39813245, 39813252, 39815569, 39813133, 39813566, 39814737, 39813107]",298,1711337703,Real-time map of every Starlink satellite in orbit,story,https://www.starlinkmap.org/,
82,jshchnz,125.0,39820649,"[39824714, 39826125, 39825445, 39824229, 39824310, 39821018, 39824273, 39824702, 39824053, 39827312, 39825161, 39826678, 39826549, 39825542, 39824940, 39826018, 39824956, 39824790, 39826085, 39825387, 39824805, 39823962, 39820828, 39821183, 39820841, 39820766]",143,1711396879,Why is the LinkedIn app almost half a gig?,story,https://threadreaderapp.com/thread/1772350918534582525.html,
83,dzdt,150.0,39803508,"[39803876, 39803739, 39807557, 39803824, 39805317, 39804616, 39806225, 39809522, 39803979, 39805116, 39804099, 39806219]",369,1711233267,New Aztec Codices Discovered: The Codices of San Andrés Tetepilco,story,https://tlacuilolli.com/2024/03/21/new-aztec-codices-the-codices-of-san-andres-tetepilco/,
84,isaacfrond,17.0,39825459,"[39827149, 39826524, 39826765, 39826530, 39826556, 39826681]",26,1711442438,Innocent St. Louis family terrorized in SWAT raid over stolen AirPods,story,https://boingboing.net/2024/03/25/innocent-st-louis-family-terrorized-in-swat-raid-over-stolen-airpods.html,
85,beefburger,23.0,39803606,"[39807898, 39809726, 39807487, 39812081, 39809394, 39807244, 39818320]",201,1711234488,PSChess – A chess engine in PostScript,story,https://seriot.ch/projects/pschess.html,
86,GrokNet,18.0,39800542,"[39819351, 39819454, 39819337]",62,1711206917,Using JTAG to dump parallel NOR flash,story,https://zetier.com/news/jtag-chain-diagram-to-dump-nor/,
87,ceritium,21.0,39816808,"[39818918, 39817906, 39822303, 39820932, 39819509, 39817622, 39818869]",59,1711377023,"Show HN: Flatito, grep for YAML and JSON files",story,https://github.com/ceritium/flatito,"It is a kind of grep for YAML and JSON files. It allows you to search for a key and get the value and the line number where it is located.<p>I created this tool because I sometimes struggle to find specific keys in typical i18n rails yamls. In the views, you don&#x27;t always have the whole key, but it is extrapolated from the context. I am sure there are other use cases; I hope you find it useful.<p>Cheers!"
88,mooreds,8.0,39815750,"[39820077, 39821995, 39819159]",37,1711371598,"A Strip Mine Threatens a Natural Treasure, the Okefenokee, in Georgia",story,https://www.nytimes.com/2024/03/25/opinion/okefenokee-strip-mine-georgia.html,
89,priyankanath,229.0,39805299,"[39811249, 39811467, 39807860, 39809723, 39811750, 39809098, 39806870, 39806571, 39812723, 39809951, 39809463, 39806793, 39812643, 39816074, 39813648, 39810055, 39811657, 39806838, 39806579, 39816783, 39812009, 39806706, 39808005, 39811181, 39817593, 39806740, 39806567, 39806907, 39806726, 39806841, 39807950, 39806826, 39806714, 39807018, 39806495, 39809364]",186,1711257534,Scientists have traced human tail loss to a short sequence of genetic code,story,https://www.cnn.com/2024/03/23/world/humans-tails-genetic-mutation-junk-dna-scn/index.html,
90,punnerud,311.0,39813883,"[39814320, 39814846, 39820993, 39816917, 39816191, 39814810, 39814284, 39817892, 39815096, 39816311, 39814971, 39818103, 39817075, 39814840, 39814774, 39814416, 39817451, 39816774, 39823347, 39815759, 39814725, 39814272, 39819606, 39817095, 39817263, 39817852, 39818072, 39814987, 39818779, 39816975, 39820575, 39816009, 39814542, 39814663, 39816970, 39817545, 39815928, 39818028, 39814630, 39819041, 39818014, 39814762, 39817703, 39816500, 39816328, 39818413, 39814476, 39814472, 39818592, 39814413]",246,1711355641,Pyenv – lets you easily switch between multiple versions of Python,story,https://github.com/pyenv/pyenv,
91,firstSpeaker,259.0,39808357,"[39809590, 39810634, 39818435, 39809823, 39809731, 39810548, 39808753, 39810091, 39809719, 39810179, 39809577, 39809954, 39820570, 39813282, 39809899, 39810755, 39809647, 39809520, 39810470, 39812528, 39811218, 39811169, 39810617, 39810108, 39809984, 39809960]",174,1711299041,The ü/ü Conundrum,story,https://unravelweb.dev/2024/02/12/the-u-u-conundrum/,
92,bookofjoe,3.0,39820911,[39821077],36,1711398411,Vast Archive of Rare Japanese Textbooks Now Online to Explore Free,story,https://mymodernmet.com/historic-japanese-textbooks-online/,
93,mhb,1.0,39820798,[39822904],40,1711397777,Jasmin Paris first woman to complete gruelling Barkley Marathons race,story,https://www.bbc.com/news/uk-scotland-edinburgh-east-fife-68643341,
94,iscream26,147.0,39810378,"[39811223, 39811850, 39811216, 39814425, 39812484, 39811329, 39811889, 39811175, 39811213, 39819426, 39813528, 39810971, 39811771, 39814025, 39810969, 39814349, 39813185, 39818124, 39815378, 39812338, 39811492, 39813842, 39817054, 39811411, 39811340, 39817597, 39812604, 39811336, 39812214]",732,1711313286,Monolith – CLI tool for saving complete web pages as a single HTML file,story,https://github.com/Y2Z/monolith,
95,unobatbayar,70.0,39813560,"[39818934, 39819286, 39818978, 39819688, 39820419, 39818744, 39819827, 39818682, 39818653, 39820333, 39818734, 39815735, 39820813, 39824670, 39827555, 39826034, 39823722, 39820401, 39818605, 39823587, 39818580, 39824718, 39824715, 39818567, 39826266, 39825043, 39825432, 39825429, 39825305, 39824930, 39824744, 39825700, 39824933, 39825038, 39820047, 39824692, 39824703, 39824814, 39825001, 39825088, 39825534, 39825675, 39825677, 39824767, 39825936, 39824766, 39825528, 39825531, 39825735, 39826041, 39826043]",285,1711352168,Ugly Avatar,story,https://txstc55.github.io/ugly-avatar/,
96,krever,4.0,39824676,"[39824677, 39825657]",14,1711433228,We Bet on Scala at SwissBorg,story,https://medium.com/swissborg-engineering/why-we-bet-on-scala-at-swissborg-6364b6419d95,
97,notonmydime,15.0,39823566,"[39824521, 39825185, 39824345, 39824551]",15,1711418593,TikTok regulation bill's future looking wobbly in Senate as calls,story,https://fortune.com/2024/03/25/tiktik-regulation-bills-future-looking-wobbly-senate-calls-threats-pour/,
98,fuzztester,10.0,39820284,"[39824756, 39824283, 39825619, 39820285]",22,1711394416,How to Criticize Computer Scientists,story,https://www.cs.purdue.edu/homes/comer/essay.criticize.html,
99,scns,0.0,39825775,,11,1711445349,Tiny Corp Changes Course yet Again with Plans to Offer AMD Radeon GPUs,story,https://www.phoronix.com/news/Tinybox-Radeon-Again-UMR,
